City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
151,porto velho,-8.7619,-63.9039,300.18,83,40,3.6,BR,1679959890
152,caninde,-4.3589,-39.3117,296.16,95,99,0.64,BR,1679960063
153,la palma,33.8464,-118.0467,297.69,28,20,5.14,US,1679960063
154,sembe,1.6481,14.5806,294.81,89,55,0.88,CG,1679959612
155,asaba,6.2006,6.7338,299.66,79,99,2.57,NG,1679960064
156,port-gentil,-0.7193,8.7815,301.13,89,20,0.51,GA,1679960065
157,watsa,3.0372,29.5355,290.3,98,80,1.47,CD,1679960066
158,san-pedro,4.7485,-6.6363,298.85,90,100,1.99,CI,1679960066
159,giyon,8.5333,37.9833,290.31,75,98,0.79,ET,1679960067
160,el alto,-4.2714,-81.2147,299.96,77,100,0.74,PE,1679960067
161,bambari,5.768,20.6757,300.01,54,95,0.89,CF,1679960067
162,pimentel,-6.8367,-79.9342,300.31,69,100,6.69,PE,1679959699
163,padang,-0.9492,100.3543,297.18,85,94,1.49,ID,1679959862
164,mwene-ditu,-7.0,23.45,289.92,97,99,1.22,CD,1679960069
165,puerto escondido,15.85,-97.0667,302.61,65,20,3.6,MX,1679959578
166,bangui,4.3612,18.555,296.44,72,54,1.07,CF,1679960070
167,alenquer,-1.9417,-54.7383,296.27,97,100,0.95,BR,1679960070
168,isoka,-10.1606,32.6335,290.06,98,100,1.06,ZM,1679960071
169,mitsamiouli,-11.3847,43.2844,300.21,78,88,1.08,KM,1679960072
170,waw,7.7029,27.9953,300.86,41,48,2.02,SS,1679960073
171,fort wellington,6.4,-57.6,298.03,81,28,5.14,GY,1679960073
172,kumbo,6.2,10.6667,290.09,82,97,1.58,CM,1679960074
173,moengo,5.6167,-54.4,296.28,85,41,1.27,SR,1679960074
174,dire dawa,9.5931,41.8661,294.58,76,99,2.11,ET,1679960075
175,itaituba,-4.2761,-55.9836,296.76,99,100,0.3,BR,1679960075
176,gambela,8.25,34.5833,299.31,47,31,0.65,ET,1679960076
177,ipixuna,-1.7625,-48.8043,296.98,93,100,1.33,BR,1679960077
178,puerto rondon,6.2805,-71.1,302.74,43,97,1.9,CO,1679960077
179,odweyne,9.4092,45.064,298.06,57,80,1.38,SO,1679959676
180,nkoteng,4.5167,12.0333,294.5,91,64,1.22,CM,1679960078
181,buchanan,5.8808,-10.0467,299.07,88,94,2.34,LR,1679960078
182,coari,-4.085,-63.1414,297.0,90,64,0.58,BR,1679959681
183,pindiga,9.9833,10.9333,300.07,15,81,4.69,NG,1679960079
184,san felix,-32.3333,-58.1333,292.07,59,28,2.89,UY,1679960079
185,agustin codazzi,10.0341,-73.2361,301.24,57,58,1.95,CO,1679960080
186,novo aripuana,-5.1206,-60.3797,296.48,97,75,0.3,BR,1679960080
187,ilebo,-4.3167,20.5833,293.19,99,92,0.61,CD,1679959722
188,puerto leguizamo,-0.1934,-74.7819,295.57,98,100,1.24,CO,1679960081
189,wukari,7.85,9.7833,300.6,49,93,1.41,NG,1679960081
190,kalemie,-5.9475,29.1947,292.69,90,95,2.48,CD,1679960082
191,abidjan,5.3094,-4.0197,301.13,100,20,1.54,CI,1679960082
192,santa quiteria,-4.3319,-40.1567,295.88,94,100,1.31,BR,1679960082
193,sabang,5.8933,95.3214,301.41,75,83,4.8,ID,1679959669
194,mbaiki,3.8678,17.9892,296.04,74,82,0.82,CF,1679960083
195,dodoma,-6.1722,35.7395,292.42,93,100,0.85,TZ,1679960084
196,kathu,7.9178,98.3332,299.05,78,99,3.87,TH,1679960084
197,kindu,-2.95,25.95,292.23,99,100,1.1,CD,1679960085
198,sechura,-5.5569,-80.8222,301.25,67,91,4.91,PE,1679960085
199,abong mbang,3.9833,13.1833,294.05,89,99,1.29,CM,1679960086
200,kismayo,-0.3582,42.5454,300.38,77,95,4.23,SO,1679960087
201,pizarro,4.9533,-77.366,299.23,82,77,2.57,CO,1679960087
202,bandarbeyla,9.4942,50.8122,299.83,81,28,2.87,SO,1679959526
203,bukama,-9.2,25.85,292.58,98,99,1.26,CD,1679960088
204,lisala,2.15,21.5167,293.49,93,63,0.9,CD,1679960089
205,camopi,3.1655,-52.3158,295.58,99,100,1.0,GF,1679960090
206,kisanga,-7.4362,37.7034,296.04,97,100,0.65,TZ,1679960091
207,aflao,6.116,1.1914,300.22,83,20,2.57,TG,1679960092
208,obo,5.3998,26.4869,294.8,80,76,1.87,CF,1679960092
209,luanda,-8.8368,13.2343,299.3,81,88,0.66,AO,1679959801
210,kitui,-1.367,38.0106,292.45,81,79,1.42,KE,1679960093
211,san jose,37.3394,-121.895,292.23,31,20,4.63,US,1679960094
212,bireun,5.203,96.7009,299.06,85,100,1.18,ID,1679959713
